identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
bnode2somevaluesfrom	bnode2somevaluesfrom	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
chain2trans1	chain2trans1	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
Consistent-but-all-unsat	consistent-but-all-unsat	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-parse
consistent-dataproperty-disjointness	consistent-dataproperty-disjointness	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Consistent Datatype restrictions with Different Types	consistent-datatype-restrictions-with-different-types	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Consistent-dateTime	consistent-datetime	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
consistent-integer-filler	consistent-integer-filler	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Consistent owl:real range with DataOneOf	consistent-owl-real-range-with-dataoneof	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Contradicting datatype Restrictions	contradicting-datatype-restrictions	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Contradicting-dateTime-restrictions	contradicting-datetime-restrictions	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Datatype-DataComplementOf-001	datatype-datacomplementof-001	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
Datatype-Float-Discrete-001	datatype-float-discrete-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
datatype-restriction-min-max-inconsistency	datatype-restriction-min-max-inconsistency	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Different types in Datatype Restrictions and Complement	different-types-in-datatype-restrictions-and-complement	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
DisjointClasses-001	disjointclasses-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
DisjointClasses-002	disjointclasses-002	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
DisjointClasses-003	disjointclasses-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
Footnote-not-about-self	footnote-not-about-self	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	-	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
FS2RDF-different-individuals-2-annotation-ar	fs2rdf-different-individuals-2-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-different-individuals-2-ar	fs2rdf-different-individuals-2-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-different-individuals-3-annotation-ar	fs2rdf-different-individuals-3-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-different-individuals-3-ar	fs2rdf-different-individuals-3-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
